Station Name,Station URL
bollywood 2010s,https://2.mystreaming.net/uber/bollywood2010s/icecast.audio
bollywood 2000s,https://2.mystreaming.net/uber/bollywood2000s/icecast.audio
Kishore Kumar Radio,https://stream-171.zeno.fm/0ghtfp8ztm0uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiIwZ2h0ZnA4enRtMHV2IiwiaG9zdCI6InN0cmVhbS0xNzEuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6InMyeU5EOFh4U2o2cnNMRnE3M0pSWVEiLCJpYXQiOjE3NDg2ODA2OTksImV4cCI6MTc0ODY4MDc1OX0.NrY6Bj7b49bpudbMBNt6Wj4_reNUyH13CB5CZPxGCms
mixify bangla,https://server.mixify.in/listen/bangla/radio.mp3
mixify Hindi Hits,https://server.mixify.in/listen/new_hits/radio.mp3
Recent Songs,https://server.geetradio.com:8000/stream/1/
No Name,http://107.182.234.197:7058/stream/1/
Radio Garam Masala,http://99.198.118.250:8019/stream/1/
No Name,https://carol.epichosts.co.uk:8570/stream/1/
SciFi Old Time Radio,http://s1.voscast.com:8652/stream
Anime Radio Brazil,https://cast.animu.com.br:9079/stream/1/
No Name,http://107.182.234.197:7058/stream/1/
Suvidha Radio,https://my.ssl-stream.com/Suvidha_Radio
NJS_HIN_EST_SC,https://18693.live.streamtheworld.com/NJS_HIN_EST_SC
Bollywood Love,https://2.mystreaming.net/uber/bollywoodlove/icecast.audio
Old Retro Songs,https://stream-148.zeno.fm/g372rxef798uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJnMzcycnhlZjc5OHV2IiwiaG9zdCI6InN0cmVhbS0xNDguemVuby5mbSIsInJ0dGwiOjUsImp0aSI6ImQtdkxic0RLUzJHaWFOSmRCanp6WFEiLCJpYXQiOjE3Mzc3MjA4ODUsImV4cCI6MTczNzcyMDk0NX0.E3lmBlTPKjxaRT74zALt2M2kue7DI8-q4eCWTdKS2ek
2000 Rerto Songs,https://stream-69.zeno.fm/rqqps6cbe3quv?zs=ZatWh9evR-aTU8DKgmalow
No Name,http://107.182.234.197:7058/stream/1/
Desi Zone Radio 3,https://www.desizoneradio.com/relay3
Desi Zone Radio 2,https://www.desizoneradio.com/relay2
Desi Zone Radio 1,https://www.desizoneradio.com/relay1
Bollywood Hits,https://stream-26.zeno.fm/zu59ykebs2zuv?zs=JV0I5s5gTFuYgjtMz1szZg
Punjabi Radio Canada,https://prclive1.listenon.in/
No Name,http://cast2.asurahosting.com:8569/stream
2000 Rerto Songs,https://stream-69.zeno.fm/rqqps6cbe3quv?zs=ZatWh9evR-aTU8DKgmalow
Bollywood Love,https://drive.uber.radio/uber/bollywoodlove/icecast.audio
Radio Namkeen,https://stream-60.zeno.fm/84h7fsbaqv5tv?zs=KPQ5-dtwTOOxy5pQajsqww
Bhangra Radio Station,http://217.13.107.32:8000/stream/1/
Bollywood Radio and Beyond,http://ams1.reliastream.com:8046/autodj
Bollywood Evergreen Hits,http://104.167.2.55:8099/stream
RadioFM Bollywood,https://s3.radio.co/s2f19d44d0/listen
sportifybollywood,https://2.mystreaming.net/uber/sportifybollywood/icecast.audio
Bollywood Evergreen Hits 02,http://eu1.reliastream.com:7103/stream
mixify,https://server.mixify.in/listen/listen/radio.mp3
mixify Evergreen,https://server.mixify.in/listen/evergreen/radio.mp3
Mohammed Rafi Radio,https://stream-169.zeno.fm/2xx62x8ztm0uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiIyeHg2Mng4enRtMHV2IiwiaG9zdCI6InN0cmVhbS0xNjkuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6IjhWVXFqaXJOUmEta1BoUEZheHZkVHciLCJpYXQiOjE3NDg2ODEyNjEsImV4cCI6MTc0ODY4MTMyMX0.193rvMjaG0Gs5Dq5GYo_xvvkbYMqTo7N-_fc-tzV2Xs
Music Lake,http://nap.casthost.net:8626/stream/1/
Calm Radio Piano,http://209.58.147.84:19991/stream/1/
Beyond Words-Instrumental,http://thassos.cdnstream.com:8042/stream/1/
Relaxing Piano,https://streams.calmradio.com:1228/stream
Piano & Guitar,https://air.radioart.online/fPiano_and_guitar.mp3
Relaxation & Stress Relief,https://air.radioart.online/fStress_relief.mp3
Meditation,https://air.radioart.online/fMeditation.mp3
